category,principle,goal,logprob
Supreme Decree 016-2024-JUS (Perú),2,5,-0.014177
Supreme Decree 016-2024-JUS (Perú),2,6,-4e-06
Supreme Decree 016-2024-JUS (Perú),3,7,-0.000285
Supreme Decree 016-2024-JUS (Perú),3,8,-72.8264
Supreme Decree 016-2024-JUS (Perú),3,9,-0.669152
Supreme Decree 016-2024-JUS (Perú),4,10,-1e-05
Supreme Decree 016-2024-JUS (Perú),4,11,0.0
Supreme Decree 016-2024-JUS (Perú),4,12,-2.9e-05
Supreme Decree 016-2024-JUS (Perú),4,13,0.0
Supreme Decree 016-2024-JUS (Perú),4,14,0.0
Supreme Decree 016-2024-JUS (Perú),5,15,0.0
Supreme Decree 016-2024-JUS (Perú),5,16,-1.1e-05
Supreme Decree 016-2024-JUS (Perú),5,17,-9e-06
Supreme Decree 016-2024-JUS (Perú),6,18,-5.3e-05
Supreme Decree 016-2024-JUS (Perú),6,19,-0.022685
Supreme Decree 016-2024-JUS (Perú),6,20,-0.005999
Supreme Decree 016-2024-JUS (Perú),7,21,-2e-06
Supreme Decree 016-2024-JUS (Perú),7,22,0.0
